监测日期,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3最大八小时滑动平均监测浓度(μg/m³),CO监测浓度(mg/m³)
2021-06-14,监测点A,5.0,17.0,22.0,5.0,35.0,0.4
2021-06-15,监测点A,5.0,16.0,26.0,8.0,67.0,0.4
2021-06-16,监测点A,5.0,13.0,26.0,9.0,64.0,0.4
2021-06-17,监测点A,4.0,19.0,26.0,8.0,45.0,0.4
2021-06-18,监测点A,5.0,15.0,28.0,10.0,87.0,0.4
2021-06-19,监测点A,5.0,13.0,30.0,12.0,96.0,0.4
2021-06-20,监测点A,7.0,12.0,33.0,13.0,96.0,0.4
2021-06-21,监测点A,6.0,16.0,35.0,15.0,95.0,0.4
2021-06-22,监测点A,4.0,34.0,22.0,12.0,88.0,0.4
2021-06-23,监测点A,4.0,29.0,22.0,12.0,62.0,0.4
2021-06-24,监测点A,5.0,38.0,32.0,16.0,49.0,0.5
2021-06-25,监测点A,5.0,25.0,32.0,16.0,90.0,0.5
2021-06-26,监测点A,4.0,32.0,34.0,14.0,65.0,0.4
2021-06-27,监测点A,4.0,15.0,34.0,14.0,68.0,0.4
2021-06-28,监测点A,5.0,16.0,33.0,13.0,65.0,0.4
2021-06-29,监测点A,6.0,14.0,33.0,13.0,59.0,0.5
2021-06-30,监测点A,5.0,11.0,32.0,12.0,54.0,0.5
2021-07-01,监测点A,5.0,8.0,33.0,12.0,69.0,0.5
2021-07-02,监测点A,6.0,10.0,31.0,10.0,74.0,0.5
2021-07-03,监测点A,6.0,12.0,34.0,13.0,67.0,0.5
2021-07-04,监测点A,6.0,10.0,27.0,10.0,93.0,0.4
2021-07-05,监测点A,6.0,19.0,21.0,4.0,64.0,0.4
2021-07-06,监测点A,6.0,25.0,25.0,4.0,39.0,0.4
2021-07-07,监测点A,5.0,18.0,18.0,3.0,54.0,0.4
2021-07-08,监测点A,5.0,15.0,18.0,3.0,64.0,0.4
2021-07-09,监测点A,7.0,17.0,28.0,12.0,146.0,0.4
2021-07-10,监测点A,6.0,13.0,20.0,5.0,81.0,0.4
2021-07-11,监测点A,6.0,11.0,20.0,3.0,63.0,0.3
2021-07-12,监测点A,6.0,11.0,17.0,5.0,81.0,0.4
